Id no.,Dex no.,id,Species,Type 1,Type 2,HP Group,Starting HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,size helper,,,Size Class,weight helper,Weight Class,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Region,Relevant?
14,9,blastoise-default,Blastoise,Water,,+1d8/lvl,21,8,10,8,10,7,5,3,63,Medium,188.5,Medium,Monster,Water 1,Torrent,,Rain Dish,Kanto,
15,9,blastoise-mega-evolution,Mega Blastoise,Water,,+1d8/lvl,21,10,12,13,11,7,5,3,63,Medium,222.89,Medium,Monster,Water 1,Mega Launcher,,,Kanto,
16,10,caterpie-default,Caterpie,Bug,,+1d6/lvl,20,3,3,2,2,4,0,12,12,Small,6.39,Feather,Bug,,Shield Dust,,Run Away,Kanto,y
17,11,metapod-default,Metapod,Bug,,+1d6/lvl,20,2,5,2,2,3,2,4,28,Small,21.83,Light,Bug,,Shed Skin,,,Kanto,
18,12,butterfree-default,Butterfree,Bug,Flying,+1d6/lvl,20,4,5,9,8,7,3,7,43,Medium,70.55,Light,Bug,,Compound Eyes,,Tinted Lens,Kanto,
19,13,weedle-default,Weedle,Bug,Poison,+1d4/lvl,19,3,3,2,2,5,0,12,12,Small,7.05,Feather,Bug,,Shield Dust,,Run Away,Kanto,y
20,14,kakuna-default,Kakuna,Bug,Poison,+1d6/lvl,20,2,5,2,2,3,1,12,24,Small,22.05,Light,Bug,,Shed Skin,,Sniper,Kanto,
21,15,beedrill-default,Beedrill,Bug,Poison,+1d6/lvl,20,9,4,4,8,7,3,3,39,Small,65.04,Light,Bug,,Swarm,,,Kanto,
22,15,beedrill-mega-evolution,Mega Beedrill,Bug,Poison,+1d6/lvl,20,15,4,1,8,14,4,7,55,Medium,89.29,Light,Bug,,Adaptability,,,Kanto,
23,16,pidgey-default,Pidgey,Normal,Flying,+1d4/lvl,19,4,4,3,3,5,0,12,12,Small,3.97,Feather,Flying,,Keen Eye,Tangled Feet,Big Pecks,Kanto,y
24,17,pidgeotto-default,Pidgeotto,Normal,Flying,+1d6/lvl,20,6,5,5,5,7,3,7,43,Medium,66.14,Light,Flying,,Keen Eye,Tangled Feet,Big Pecks,Kanto,
25,18,pidgeot-default,Pidgeot,Normal,Flying,+1d8/lvl,21,8,7,7,7,10,4,11,59,Medium,87.08,Light,Flying,,Keen Eye,Tangled Feet,Big Pecks,Kanto,
26,18,pidgeot-mega-evolution,Mega Pidgeot,Normal,Flying,+1d8/lvl,21,8,8,13,8,12,7,3,87,Large,110.23,Medium,Flying,,No Guard,,,Kanto,
27,19,rattata-default,Rattata,Normal,,+1d4/lvl,19,5,3,2,3,7,0,12,12,Small,7.72,Feather,Field,,Run Away,Guts,Hustle,Kanto,y
28,19,rattata-alolan,Alolan Rattata,Dark,Normal,+1d4/lvl,19,5,3,2,3,7,0,12,12,Small,8.38,Feather,Field,,Gluttony,Hustle,Thick Fat,Alola,y
29,20,raticate-default,Raticate,Normal,,+1d6/lvl,20,8,6,5,7,9,2,4,28,Small,40.79,Light,Field,,Run Away,Guts,Hustle,Kanto,
30,20,raticate-alolan,Alolan Raticate,Dark,Normal,+1d8/lvl,21,7,7,4,8,7,2,4,28,Small,56.22,Light,Field,,Gluttony,Hustle,Thick Fat,Alola,
31,21,spearow-default,Spearow,Normal,Flying,+1d4/lvl,19,6,3,3,3,7,0,12,12,Small,4.41,Feather,Flying,,Keen Eye,,Sniper,Kanto,y
32,22,fearow-default,Fearow,Normal,Flying,+1d6/lvl,20,9,6,6,6,10,3,11,47,Medium,83.78,Light,Flying,,Keen Eye,,Sniper,Kanto,
33,23,ekans-default,Ekans,Poison,,+1d4/lvl,19,6,4,4,5,5,6,7,79,Medium,15.21,Light,Field,Dragon,Intimidate,Shed Skin,Unnerve,Kanto,y
34,24,arbok-default,Arbok,Poison,,+1d6/lvl,20,9,6,6,7,8,11,6,138,Large,143.3,Medium,Field,Dragon,Intimidate,Shed Skin,Unnerve,Kanto,
35,25,pikachu-default,Pikachu,Electric,,+1d4/lvl,19,5,4,5,5,9,1,4,16,Small,13.23,Light,Field,Fairy,Static,,Lightning Rod,Kanto,y
36,26,raichu-default,Raichu,Electric,,+1d6/lvl,20,9,5,9,8,11,2,7,31,Small,66.14,Light,Field,Fairy,Static,,Lightning Rod,Kanto,
37,26,raichu-alolan,Alolan Raichu,Electric,Psychic,+1d6/lvl,20,8,5,9,8,11,2,4,28,Small,46.3,Light,Field,Fairy,Surge Surfer,,,Alola,
38,27,sandshrew-default,Sandshrew,Ground,,+1d6/lvl,20,7,8,2,3,4,1,12,24,Small,26.46,Light,Field,,Sand Veil,,Sand Rush,Kanto,y
39,27,sandshrew-alolan,Alolan Sandshrew,Ice,Steel,+1d6/lvl,20,7,9,1,3,4,2,4,28,Small,88.18,Light,Field,,Snow Cloak,,Slush Rush,Alola,y
40,28,sandslash-default,Sandslash,Ground,,+1d8/lvl,21,10,12,2,6,6,3,3,39,Small,65.04,Light,Field,,Sand Veil,,Sand Rush,Kanto,
41,28,sandslash-alolan,Alolan Sandslash,Ice,Steel,+1d8/lvl,21,10,11,4,5,6,3,11,47,Medium,121.25,Medium,Field,,Snow Cloak,,Slush Rush,Alola,
42,29,nidoran-f-default,Nidoran F,Poison,,+1d6/lvl,20,4,5,4,4,4,1,4,16,Small,15.43,Light,Monster,Field,Poison Point,Rivalry,Hustle,Kanto,y
43,30,nidorina-default,Nidorina,Poison,,+1d8/lvl,21,6,6,5,5,5,2,7,31,Small,44.09,Light,No Eggs Discovered,,Poison Point,Rivalry,Hustle,Kanto,
44,31,nidoqueen-default,Nidoqueen,Poison,Ground,+1d8/lvl,21,9,8,7,8,7,4,3,51,Medium,132.28,Medium,No Eggs Discovered,,Poison Point,Rivalry,Sheer Force,Kanto,
45,32,nidoran-m-default,Nidoran M,Poison,,+1d6/lvl,20,5,4,4,4,5,1,8,20,Small,19.84,Light,Monster,Field,Poison Point,Rivalry,Hustle,Kanto,y
46,33,nidorino-default,Nidorino,Poison,,+1d6/lvl,20,7,5,5,5,6,2,11,35,Small,42.99,Light,Monster,Field,Poison Point,Rivalry,Hustle,Kanto,
47,34,nidoking-default,Nidoking,Poison,Ground,+1d8/lvl,21,10,7,8,7,8,4,7,55,Medium,136.69,Medium,Monster,Field,Poison Point,Rivalry,Sheer Force,Kanto,
48,35,clefairy-default,Clefairy,Fairy,,+1d8/lvl,21,4,4,6,6,3,1,12,24,Small,16.53,Light,Fairy,,Cute Charm,Magic Guard,Friend Guard,Kanto,y
49,36,clefable-default,Clefable,Fairy,,+1d10/lvl,22,7,7,9,9,6,4,3,51,Medium,88.18,Light,Fairy,,Cute Charm,Magic Guard,Unaware,Kanto,
50,37,vulpix-default,Vulpix,Fire,,+1d4/lvl,19,4,4,5,6,6,1,12,24,Small,21.83,Light,Field,,Flash Fire,,Drought,Kanto,y
51,37,vulpix-alolan,Alolan Vulpix,Ice,,+1d4/lvl,19,4,4,5,6,6,1,12,24,Small,21.83,Light,Field,,Snow Cloak,,Snow Warning,Alola,y
52,38,ninetales-default,Ninetales,Fire,,+1d8/lvl,21,7,7,8,10,10,3,7,43,Medium,43.87,Light,Field,,Flash Fire,,Drought,Kanto,
53,38,ninetales-alolan,Alolan Ninetales,Ice,Fairy,+1d8/lvl,21,6,7,8,10,10,3,7,43,Medium,43.87,Light,Field,,Snow Cloak,,Snow Warning,Alola,
54,39,jigglypuff-default,Jigglypuff,Normal,Fairy,+1d12/lvl,23,4,2,4,2,2,1,8,20,Small,12.13,Light,Fairy,,Cute Charm,Competitive,Friend Guard,Kanto,y
55,40,wigglytuff-default,Wigglytuff,Normal,Fairy,+1d12/lvl,23,7,4,8,5,4,3,3,39,Small,26.46,Light,Fairy,,Cute Charm,Competitive,Frisk,Kanto,
56,41,zubat-default,Zubat,Poison,Flying,+1d4/lvl,19,4,3,3,4,5,2,7,31,Small,16.53,Light,Flying,,Inner Focus,,Infiltrator,Kanto,y
57,42,golbat-default,Golbat,Poison,Flying,+1d8/lvl,21,8,7,6,7,9,5,3,63,Medium,121.25,Medium,Flying,,Inner Focus,,Infiltrator,Kanto,
58,43,oddish-default,Oddish,Grass,Poison,+1d6/lvl,20,5,5,7,6,3,1,8,20,Small,11.9,Light,Grass,,Chlorophyll,,Run Away,Kanto,y
59,44,gloom-default,Gloom,Grass,Poison,+1d6/lvl,20,6,7,8,7,4,2,7,31,Small,18.96,Light,Grass,,Chlorophyll,,Stench,Kanto,
60,45,vileplume-default,Vileplume,Grass,Poison,+1d8/lvl,21,8,8,11,9,5,3,11,47,Medium,41.01,Light,Grass,,Chlorophyll,,Effect Spore,Kanto,
61,46,paras-default,Paras,Bug,Grass,+1d4/lvl,19,7,5,4,5,2,0,12,12,Small,11.9,Light,Bug,Grass,Effect Spore,Dry Skin,Damp,Kanto,y
62,47,parasect-default,Parasect,Bug,Grass,+1d6/lvl,20,9,8,6,8,3,3,3,39,Small,65.04,Light,Bug,Grass,Effect Spore,Dry Skin,Damp,Kanto,
63,48,venonat-default,Venonat,Bug,Poison,+1d6/lvl,20,5,5,4,5,4,3,3,39,Small,66.14,Light,Bug,,Compound Eyes,Tinted Lens,Run Away,Kanto,y
64,49,venomoth-default,Venomoth,Bug,Poison,+1d8/lvl,21,6,6,9,7,9,4,11,59,Medium,27.56,Light,Bug,,Shield Dust,Tinted Lens,Wonder Skin,Kanto,
65,50,diglett-default,Diglett,Ground,,+1d4/lvl,19,5,2,3,4,9,0,8,8,Small,1.76,Feather,Field,,Sand Veil,Arena Trap,Sand Force,Kanto,y
66,50,diglett-alolan,Alolan Diglett,Ground,Steel,+1d4/lvl,19,5,3,3,4,9,0,8,8,Small,2.2,Feather,Field,,Sand Veil,Tangling Hair,Sand Force,Alola,y
67,51,dugtrio-default,Dugtrio,Ground,,+1d4/lvl,19,10,5,5,7,12,2,4,28,Small,73.41,Light,Field,,Sand Veil,Arena Trap,Sand Force,Kanto,
68,51,dugtrio-alolan,Alolan Dugtrio,Ground,Steel,+1d4/lvl,19,10,6,5,7,11,2,4,28,Small,146.83,Medium,Field,,Sand Veil,Tangling Hair,Sand Force,Alola,
69,52,meowth-default,Meowth,Normal,,+1d4/lvl,19,4,3,4,4,9,1,4,16,Small,9.26,Feather,Field,,Pickup,Technician,Unnerve,Kanto,y
70,52,meowth-alolan,Alolan Meowth,Dark,,+1d4/lvl,19,3,3,5,4,9,1,4,16,Small,9.26,Feather,Field,,Pickup,Technician,Rattled,Alola,y
71,52,meowth-galarian,Galarian Meowth,Steel,,+1d6/lvl,20,6,5,4,4,4,1,4,16,Small,16.53,Light,Field,,Pickup,Tough Claws,Unnerve,Galar,y
72,53,persian-default,Persian,Normal,,+1d6/lvl,20,7,6,6,6,11,3,3,39,Small,70.55,Light,Field,,Limber,Technician,Unnerve,Kanto,
73,53,persian-alolan,Alolan Persian,Dark,,+1d6/lvl,20,6,6,7,6,11,3,7,43,Medium,72.75,Light,Field,,Fur Coat,Technician,Rattled,Alola,
74,54,psyduck-default,Psyduck,Water,,+1d6/lvl,20,5,4,6,5,5,2,7,31,Small,43.21,Light,Water 1,Field,Damp,Cloud Nine,Swift Swim,Kanto,y
75,55,golduck-default,Golduck,Water,,+1d8/lvl,21,8,7,9,8,8,5,7,67,Medium,168.87,Medium,Water 1,Field,Damp,Cloud Nine,Swift Swim,Kanto,
76,56,mankey-default,Mankey,Fighting,,+1d4/lvl,19,8,3,3,4,7,1,8,20,Small,61.73,Light,Field,,Vital Spirit,Anger Point,Defiant,Kanto,y
77,57,primeape-default,Primeape,Fighting,,+1d6/lvl,20,10,6,6,7,9,3,3,39,Small,70.55,Light,Field,,Vital Spirit,Anger Point,Defiant,Kanto,
78,58,growlithe-default,Growlithe,Fire,,+1d6/lvl,20,7,4,7,5,6,2,4,28,Small,41.89,Light,Field,,Intimidate,Flash Fire,Justified,Kanto,y
79,58,growlithe-hisuian,Hisuian Growlithe,Fire,Rock,+1d6/lvl,20,7,4,6,5,5,2,7,31,Small,50.04,Light,Field,,Intimidate,Flash Fire,Rock Head,Hisui,y
80,59,arcanine-default,Arcanine,Fire,,+1d8/lvl,21,11,8,10,8,9,6,3,75,Medium,341.72,Heavy,Field,,Intimidate,Flash Fire,Justified,Kanto,
81,59,arcanine-hisuian,Hisuian Arcanine,Fire,Rock,+1d10/lvl,22,11,8,9,8,9,6,7,79,Medium,370.38,Heavy,Field,,Intimidate,Flash Fire,Rock Head,Hisui,
82,60,poliwag-default,Poliwag,Water,,+1d4/lvl,19,5,4,4,4,9,1,12,24,Small,27.34,Light,Water 1,,Water Absorb,Damp,Swift Swim,Kanto,y
83,61,poliwhirl-default,Poliwhirl,Water,,+1d6/lvl,20,6,6,5,5,9,3,3,39,Small,44.09,Light,Water 1,,Water Absorb,Damp,Swift Swim,Kanto,
84,62,poliwrath-default,Poliwrath,Water,Fighting,+1d8/lvl,21,9,9,7,9,7,4,3,51,Medium,119.05,Medium,Water 1,,Water Absorb,Damp,Swift Swim,Kanto,
85,63,abra-default,Abra,Psychic,,+1d4/lvl,19,2,1,10,5,9,2,11,35,Small,42.99,Light,Human-Like,,Synchronize,Inner Focus,Magic Guard,Kanto,y
86,64,kadabra-default,Kadabra,Psychic,,+1d4/lvl,19,3,3,12,7,10,4,3,51,Medium,124.56,Medium,Human-Like,,Synchronize,Inner Focus,Magic Guard,Kanto,
87,65,alakazam-default,Alakazam,Psychic,,+1d6/lvl,20,5,4,13,9,12,4,11,59,Medium,105.82,Medium,Human-Like,,Synchronize,Inner Focus,Magic Guard,Kanto,
88,65,alakazam-mega-evolution,Mega Alakazam,Psychic,,+1d6/lvl,20,5,6,17,10,15,3,11,47,Medium,105.82,Medium,Human-Like,,Trace,,,Kanto,
89,66,machop-default,Machop,Fighting,,+1d8/lvl,21,8,5,3,3,3,2,7,31,Small,42.99,Light,Human-Like,,Guts,No Guard,Steadfast,Kanto,y
90,67,machoke-default,Machoke,Fighting,,+1d8/lvl,21,10,7,5,6,4,4,11,59,Medium,155.43,Medium,Human-Like,,Guts,No Guard,Steadfast,Kanto,
91,68,machamp-default,Machamp,Fighting,,+1d8/lvl,21,13,8,6,8,5,5,3,63,Medium,286.6,Heavy,Human-Like,,Guts,No Guard,Steadfast,Kanto,
92,69,bellsprout-default,Bellsprout,Grass,Poison,+1d6/lvl,20,7,3,7,3,4,2,4,28,Small,8.82,Feather,Grass,,Chlorophyll,,Gluttony,Kanto,y
93,70,weepinbell-default,Weepinbell,Grass,Poison,+1d6/lvl,20,9,5,8,4,5,3,3,39,Small,14.11,Light,Grass,,Chlorophyll,,Gluttony,Kanto,
94,71,victreebel-default,Victreebel,Grass,Poison,+1d8/lvl,21,10,6,10,7,7,5,7,67,Medium,34.17,Light,Grass,,Chlorophyll,,Gluttony,Kanto,
95,72,tentacool-default,Tentacool,Water,Poison,+1d4/lvl,19,4,3,5,10,7,2,11,35,Small,100.31,Medium,Water 3,,Clear Body,Liquid Ooze,Rain Dish,Kanto,y
96,73,tentacruel-default,Tentacruel,Water,Poison,+1d8/lvl,21,7,6,8,12,10,5,3,63,Medium,121.25,Medium,Water 3,,Clear Body,Liquid Ooze,Rain Dish,Kanto,
97,74,geodude-default,Geodude,Rock,Ground,+1d4/lvl,19,8,10,3,3,2,1,4,16,Small,44.09,Light,Mineral,,Rock Head,Sturdy,Sand Veil,Kanto,y
98,74,geodude-alolan,Alolan Geodude,Rock,Electric,+1d4/lvl,19,8,10,3,3,2,1,4,16,Small,44.75,Light,Mineral,,Magnet Pull,Sturdy,Galvanize,Alola,y
99,75,graveler-default,Graveler,Rock,Ground,+1d6/lvl,20,9,11,4,4,3,3,3,39,Small,231.49,Medium,Mineral,,Rock Head,Sturdy,Sand Veil,Kanto,
100,75,graveler-alolan,Alolan Graveler,Rock,Electric,+1d6/lvl,20,9,11,4,4,3,3,3,39,Small,242.51,Medium,Mineral,,Magnet Pull,Sturdy,Galvanize,Alola,
101,76,golem-default,Golem,Rock,Ground,+1d8/lvl,21,12,13,5,6,4,4,7,55,Medium,661.39,Massive,Mineral,,Rock Head,Sturdy,Sand Veil,Kanto,
102,76,golem-alolan,Alolan Golem,Rock,Electric,+1d8/lvl,21,12,13,5,6,4,5,7,67,Medium,696.66,Massive,Mineral,,Magnet Pull,Sturdy,Galvanize,Alola,
103,77,ponyta-default,Ponyta,Fire,,+1d6/lvl,20,8,5,6,6,9,3,3,39,Small,66.14,Light,Field,,Run Away,Flash Fire,Flame Body,Kanto,y
104,77,ponyta-galarian,Galarian Ponyta,Psychic,,+1d6/lvl,20,8,5,6,6,9,2,7,31,Small,52.91,Light,Field,,Run Away,Pastel Veil,Anticipation,Galar,y
105,78,rapidash-default,Rapidash,Fire,,+1d6/lvl,20,10,7,8,8,10,5,7,67,Medium,209.44,Medium,Field,,Run Away,Flash Fire,Flame Body,Kanto,
106,78,rapidash-galarian,Galarian Rapidash,Psychic,Fairy,+1d6/lvl,20,10,7,8,8,10,5,7,67,Medium,176.37,Medium,Field,,Run Away,Pastel Veil,Anticipation,Galar,
107,79,slowpoke-default,Slowpoke,Water,Psychic,+1d8/lvl,21,6,6,4,4,1,3,11,47,Medium,79.37,Light,Monster,Water 1,Oblivious,Own Tempo,Regenerator,Kanto,y
108,79,slowpoke-galarian,Galarian Slowpoke,Psychic,,+1d8/lvl,21,6,6,4,4,1,3,11,47,Medium,79.37,Light,Monster,Water 1,Gluttony,Own Tempo,Regenerator,Galar,y
109,80,slowbro-default,Slowbro,Water,Psychic,+1d10/lvl,22,7,11,10,8,3,5,3,63,Medium,173.06,Medium,Monster,Water 1,Oblivious,Own Tempo,Regenerator,Kanto,
110,80,slowbro-galarian,Galarian Slowbro,Poison,Psychic,+1d10/lvl,22,10,9,10,7,3,5,3,63,Medium,155.43,Medium,Monster,Water 1,Quick Draw,Own Tempo,Regenerator,Galar,
111,80,slowbro-mega-evolution,Mega Slowbro,Water,Psychic,+1d10/lvl,22,7,18,13,8,3,6,7,79,Medium,264.55,Heavy,Monster,Water 1,Shell Armor,,,Kanto,
112,81,magnemite-default,Magnemite,Electric,Steel,+1d4/lvl,19,3,7,9,5,4,0,12,12,Small,13.23,Light,Mineral,,Magnet Pull,Sturdy,Analytic,Kanto,y
113,82,magneton-default,Magneton,Electric,Steel,+1d6/lvl,20,6,9,12,7,7,3,3,39,Small,132.28,Medium,Mineral,,Magnet Pull,Sturdy,Analytic,Kanto,
114,83,farfetchd-default,Farfetchd,Normal,Flying,+1d6/lvl,20,9,5,5,6,6,2,7,31,Small,33.07,Light,Flying,Field,Keen Eye,Inner Focus,Defiant,Kanto,y
115,83,farfetchd-galarian,Galarian Farfetchd,Fighting,,+1d6/lvl,20,9,5,5,6,5,2,7,31,Small,92.59,Light,Flying,Field,Steadfast,,Scrappy,Galar,y
116,84,doduo-default,Doduo,Normal,Flying,+1d4/lvl,19,8,4,3,3,7,4,7,55,Medium,86.42,Light,Flying,,Run Away,Early Bird,Tangled Feet,Kanto,y
117,85,dodrio-default,Dodrio,Normal,Flying,+1d6/lvl,20,11,7,6,6,11,5,11,71,Medium,187.83,Medium,Flying,,Run Away,Early Bird,Tangled Feet,Kanto,
118,86,seel-default,Seel,Water,,+1d6/lvl,20,4,5,4,7,4,3,7,43,Medium,198.42,Medium,Water 1,Field,Thick Fat,Hydration,Ice Body,Kanto,y
119,87,dewgong-default,Dewgong,Water,Ice,+1d8/lvl,21,7,8,7,9,7,5,7,67,Medium,264.55,Heavy,Water 1,Field,Thick Fat,Hydration,Ice Body,Kanto,
120,88,grimer-default,Grimer,Poison,,+1d8/lvl,21,8,5,4,5,2,2,11,35,Small,66.14,Light,Amorphous,,Stench,Sticky Hold,Poison Touch,Kanto,y
121,88,grimer-alolan,Alolan Grimer,Poison,Dark,+1d8/lvl,21,8,5,4,5,2,2,4,28,Small,92.59,Light,Amorphous,,Poison Touch,Gluttony,Power of Alchemy,Alola,y
122,89,muk-default,Muk,Poison,,+1d10/lvl,22,10,7,6,10,5,3,11,47,Medium,66.14,Light,Amorphous,,Stench,Sticky Hold,Poison Touch,Kanto,
123,89,muk-alolan,Alolan Muk,Poison,Dark,+1d10/lvl,22,10,7,6,10,5,3,3,39,Small,114.64,Medium,Amorphous,,Poison Touch,Gluttony,Power of Alchemy,Alola,
124,90,shellder-default,Shellder,Water,,+1d4/lvl,19,6,10,4,2,4,0,12,12,Small,8.82,Feather,Water 3,,Shell Armor,Skill Link,Overcoat,Kanto,y
125,91,cloyster-default,Cloyster,Water,Ice,+1d6/lvl,20,9,18,8,4,7,4,11,59,Medium,292.11,Heavy,Water 3,,Shell Armor,Skill Link,Overcoat,Kanto,
126,92,gastly-default,Gastly,Ghost,Poison,+1d4/lvl,19,3,3,10,3,8,4,3,51,Medium,0.22,Feather,Amorphous,,Levitate,,,Kanto,y
127,93,haunter-default,Haunter,Ghost,Poison,+1d6/lvl,20,5,4,11,5,9,5,3,63,Medium,0.22,Feather,Amorphous,,Levitate,,,Kanto,
128,94,gengar-default,Gengar,Ghost,Poison,+1d6/lvl,20,6,6,13,7,11,4,11,59,Medium,89.29,Light,Amorphous,,Cursed Body,,,Kanto,
129,94,gengar-mega-evolution,Mega Gengar,Ghost,Poison,+1d6/lvl,20,6,8,17,9,13,4,7,55,Medium,89.29,Light,Amorphous,,Shadow Tag,,,Kanto,
130,95,onix-default,Onix,Rock,Ground,+1d4/lvl,19,4,16,3,4,7,28,10,346,Gargantuan,462.97,Heavy,Mineral,,Rock Head,Sturdy,Weak Armor,Kanto,y
131,96,drowzee-default,Drowzee,Psychic,,+1d6/lvl,20,4,4,4,9,4,3,3,39,Small,71.43,Light,Human-Like,,Insomnia,Forewarn,Inner Focus,Kanto,y
132,97,hypno-default,Hypno,Psychic,,+1d8/lvl,21,7,7,7,11,6,5,3,63,Medium,166.67,Medium,Human-Like,,Insomnia,Forewarn,Inner Focus,Kanto,
133,98,krabby-default,Krabby,Water,,+1d4/lvl,19,10,9,2,2,5,1,4,16,Small,14.33,Light,Water 3,,Hyper Cutter,Shell Armor,Sheer Force,Kanto,y
134,99,kingler-default,Kingler,Water,,+1d6/lvl,20,13,11,5,5,7,4,3,51,Medium,132.28,Medium,Water 3,,Hyper Cutter,Shell Armor,Sheer Force,Kanto,
135,100,voltorb-default,Voltorb,Electric,,+1d4/lvl,19,3,5,5,5,10,1,8,20,Small,22.93,Light,Mineral,,Soundproof,Static,Aftermath,Kanto,y
136,100,voltorb-hisuian,Hisuian Voltorb,Electric,Grass,+1d4/lvl,19,3,5,5,5,10,1,8,20,Small,28.66,Light,Mineral,,Soundproof,Static,Aftermath,Hisui,y
137,101,electrode-default,Electrode,Electric,,+1d6/lvl,20,5,7,8,8,15,3,11,47,Medium,146.83,Medium,Mineral,,Soundproof,Static,Aftermath,Kanto,
138,101,electrode-hisuian,Hisuian Electrode,Electric,Grass,+1d6/lvl,20,5,7,8,8,15,3,11,47,Medium,156.53,Medium,Mineral,,Soundproof,Static,Aftermath,Hisui,
139,102,exeggcute-default,Exeggcute,Grass,Psychic,+1d6/lvl,20,4,8,6,4,4,1,4,16,Small,5.51,Feather,Grass,,Chlorophyll,,Harvest,Kanto,y
140,103,exeggutor-default,Exeggutor,Grass,Psychic,+1d10/lvl,22,9,8,12,7,5,6,7,79,Medium,264.55,Heavy,Grass,,Chlorophyll,,Harvest,Kanto,
141,103,exeggutor-alolan,Alolan Exeggutor,Grass,Dragon,+1d10/lvl,22,10,8,12,7,4,35,9,429,Gargantuan,916.24,Massive,Grass,,Frisk,,Harvest,Alola,
142,104,cubone-default,Cubone,Ground,,+1d6/lvl,20,5,9,4,5,3,1,4,16,Small,14.33,Light,Monster,,Rock Head,Lightning Rod,Battle Armor,Kanto,y
143,105,marowak-default,Marowak,Ground,,+1d6/lvl,20,8,11,5,8,4,3,3,39,Small,99.21,Light,Monster,,Rock Head,Lightning Rod,Battle Armor,Kanto,
144,105,marowak-alolan,Alolan Marowak,Fire,Ghost,+1d6/lvl,20,8,11,5,8,4,3,3,39,Small,74.96,Light,Monster,,Cursed Body,Lightning Rod,Rock Head,Alola,
145,106,hitmonlee-default,Hitmonlee,Fighting,,+1d6/lvl,20,12,5,3,11,8,4,11,59,Medium,109.79,Medium,Human-Like,,Limber,Reckless,Unburden,Kanto,y
146,107,hitmonchan-default,Hitmonchan,Fighting,,+1d6/lvl,20,10,7,3,11,7,4,7,55,Medium,110.67,Medium,Human-Like,,Keen Eye,Iron Fist,Inner Focus,Kanto,y
147,108,lickitung-default,Lickitung,Normal,,+1d8/lvl,21,5,7,6,7,3,3,11,47,Medium,144.4,Medium,Monster,,Own Tempo,Oblivious,Cloud Nine,Kanto,y
148,109,koffing-default,Koffing,Poison,,+1d4/lvl,19,6,9,6,4,3,1,12,24,Small,2.2,Feather,Amorphous,,Levitate,Neutralizing Gas,Stench,Kanto,y
149,110,weezing-default,Weezing,Poison,,+1d6/lvl,20,9,12,8,7,6,3,11,47,Medium,20.94,Light,Amorphous,,Levitate,Neutralizing Gas,Stench,Kanto,
